DATE,OPPONENT,RESULT,MIN,PTS,REB,AST,STL,BLK
Sunday 13 April,vs UTAH,W 116-105,40,43,6,5,3,1
Saturday 12 April,vs BKN,W 117-91,31,9,4,5,1,2
Friday 11 April,@ MEM,W 141-125,38,44,5,3,1,1
Wednesday 9 April,@ MIL,L 110-103,39,25,7,4,1,1
Sunday 6 April,@ PHI,W 114-109,38,37,2,2,1,1
Friday 4 April,@ BKN,W 105-90,32,28,5,3,2,1
Wednesday 2 April,@ DEN,W 140-139 2OT,50,34,10,8,1,0
Monday 31 March,vs DET,W 123-104,36,25,6,4,0,2
Saturday 29 March,vs PHX,W 124-109,28,20,4,5,1,0
Monday 24 March,@ IND,L 119-103,34,17,2,4,1,0
Saturday 22 March,vs NO,W 134-93,26,17,3,5,2,0
Thursday 20 March,vs NO,L 119-115,38,29,6,4,1,1
Tuesday 18 March,vs IND,L 132-130 OT,41,38,3,5,2,2
Sunday 16 March,vs UTAH,W 128-102,31,41,2,2,1,0
Saturday 15 March,vs ORL,W 118-111,39,28,4,5,0,1
Thursday 13 March,@ DEN,W 115-95,35,29,4,6,1,0
Monday 10 March,vs SA,W 141-124,30,25,3,3,1,0
Saturday 8 March,@ MIA,W 106-104,39,13,13,6,0,0
Thursday 6 March,@ CHA,W 125-110,38,29,3,6,2,1
Wednesday 5 March,vs PHI,W 126-112,30,18,5,1,0,0
Monday 3 March,@ PHX,W 116-98,36,44,5,7,2,0
Friday 28 February,@ LAL,L 111-102,26,18,6,5,1,0
Tuesday 25 February,@ OKC,W 131-128 OT,36,17,13,8,0,1
Monday 24 February,vs OKC,L 130-123,39,29,10,7,2,0
Saturday 22 February,@ HOU,L 121-115,39,37,4,3,0,1
Friday 21 February,vs OKC,W 116-101,36,23,7,7,3,0
Thursday 13 February,vs MIL,L 103-101,37,28,7,4,2,0
Tuesday 11 February,@ CLE,L 128-107,37,44,6,1,1,0
Friday 7 February,vs HOU,W 127-114,38,41,7,6,0,1
Thursday 6 February,vs CHI,W 127-108,37,49,9,3,1,1
Tuesday 4 February,vs SAC,L 116-114,38,21,6,4,2,1
Friday 31 January,@ UTAH,W 138-113,35,36,6,11,0,3
Thursday 30 January,@ PHX,W 121-113,40,33,7,5,2,4
Tuesday 28 January,vs ATL,W 100-92,35,23,5,4,2,1
Saturday 25 January,vs DEN,W 133-104,33,34,1,9,0,0
Thursday 23 January,@ DAL,W 115-114,37,21,5,7,0,0
Monday 20 January,@ MEM,L 108-106,38,32,4,3,0,1
Sunday 19 January,vs CLE,L 124-117,41,28,3,5,1,1
Saturday 18 January,@ NY,W 116-99,38,36,13,7,0,0
Thursday 16 January,@ GS,L 116-115,41,28,8,2,1,1
Tuesday 14 January,@ WSH,W 120-106,36,41,6,7,3,1
Sunday 12 January,vs MEM,L 127-125,39,15,5,6,1,0
Friday 10 January,@ ORL,W 104-89,36,21,3,7,2,0
Wednesday 8 January,@ NO,W 104-97,38,32,9,3,2,0
Tuesday 7 January,vs LAC,W 108-106,37,37,7,8,1,0
Sunday 5 January,@ DET,L 119-105,44,53,6,2,0,0
Friday 3 January,@ BOS,L 118-115,36,15,4,6,0,0
Wednesday 1 January,vs OKC,L 113-105,39,20,7,2,0,1
Monday 30 December,vs SA,W 112-110,38,14,8,4,0,1
Saturday 28 December,@ HOU,W 113-112,35,24,5,3,0,1
Wednesday 25 December,@ DAL,W 105-99,39,26,8,5,2,1
Tuesday 24 December,@ ATL,L 117-104,32,16,6,4,2,0
Sunday 22 December,vs GS,L 113-103,39,19,7,5,0,0
Friday 20 December,vs NY,L 133-107,34,17,5,7,3,1
Monday 16 December,@ SA,W 106-92,28,26,5,2,0,0
Saturday 14 December,vs LAL,W 97-87,33,23,6,1,1,0
Monday 9 December,@ GS,L 114-106,37,27,5,6,1,0
Saturday 7 December,@ GS,W 107-90,35,30,4,9,1,2
Thursday 5 December,@ LAC,W 108-80,26,16,6,4,4,0
Tuesday 3 December,vs LAL,W 109-80,27,8,7,3,2,0
Saturday 30 November,vs LAC,W 93-92,36,21,4,3,2,0
Thursday 28 November,vs SAC,L 115-104,37,29,5,5,3,0
Wednesday 27 November,vs HOU,L 117-111 OT,43,29,10,1,1,3
Sunday 24 November,@ BOS,L 107-105,39,28,9,7,0,0
Friday 22 November,@ TOR,L 110-105,36,26,3,2,2,2
Sunday 17 November,vs PHX,W 120-117,39,24,4,6,1,0
Saturday 16 November,@ SAC,W 130-126 OT,42,36,5,2,0,0
Thursday 14 November,@ POR,L 106-98,40,24,4,4,4,1
Wednesday 13 November,@ POR,L 122-108,37,26,0,3,2,1
Monday 11 November,vs MIA,L 95-94,37,22,5,6,2,0
Saturday 9 November,vs POR,W 127-102,30,37,6,5,1,1
Friday 8 November,@ CHI,W 135-119,35,33,8,6,0,1
Tuesday 5 November,vs CHA,W 114-93,29,21,5,1,1,0
Sunday 3 November,@ SA,L 113-103,36,21,5,2,2,0
Saturday 2 November,vs DEN,W 119-116,38,29,4,4,1,1
Tuesday 29 October,vs DAL,W 121-114,37,37,6,3,0,1
Sunday 27 October,vs TOR,W 112-101,39,24,6,4,1,1
Friday 25 October,@ SAC,W 117-115,39,32,7,4,1,0
Wednesday 23 October,@ LAL,L 110-103,41,27,6,3,0,0