DATE,OPPONENT,RESULT,MIN,PTS,REB,AST,STL,BLK
Saturday 12 April,@ DET,W 125-119,38,32,11,15,1,2
Friday 11 April,vs NO,W 136-111,26,28,11,5,0,1
Wednesday 9 April,vs MIN,W 110-103,38,23,13,10,1,1
Sunday 6 April,@ MIA,W 121-115 OT,43,36,15,10,0,1
Friday 4 April,@ PHI,W 126-113,39,35,17,20,2,0
Wednesday 2 April,vs PHX,W 133-123,36,37,5,11,3,1
Monday 31 March,vs ATL,L 145-124,30,31,9,5,1,0
Saturday 29 March,vs NY,L 116-107,35,30,9,7,0,0
Tuesday 25 March,@ PHX,L 108-106,37,31,10,5,1,0
Sunday 23 March,@ SAC,W 114-108,35,32,17,3,1,1
Friday 21 March,@ LAL,W 118-89,29,28,7,4,2,1
Wednesday 19 March,@ GS,L 104-93,39,20,9,7,3,2
Monday 17 March,vs OKC,L 121-105,36,21,12,10,1,2
Sunday 16 March,vs IND,W 126-119,35,34,10,7,1,3
Thursday 13 March,vs LAL,W 126-106,30,24,12,9,1,1
Tuesday 11 March,@ IND,L 115-114,34,19,17,7,0,1
Monday 10 March,vs CLE,L 112-100,34,30,9,3,2,0
Sunday 9 March,vs ORL,L 111-109,35,37,11,4,1,0
Thursday 6 March,vs DAL,W 137-107,25,32,15,4,1,0
Wednesday 5 March,@ ATL,W 127-121,34,26,12,10,1,0
Sunday 2 March,@ DAL,W 132-117,32,29,9,9,1,2
Friday 28 February,vs DEN,W 121-112,33,28,19,7,0,1
Wednesday 26 February,@ HOU,L 100-97,32,27,10,6,1,1
Sunday 23 February,vs MIA,W 120-113,32,23,16,7,1,1
Saturday 22 February,@ WSH,W 104-101,19,18,6,3,1,1
Friday 21 February,vs LAC,W 116-110,24,23,8,4,0,1
Monday 3 February,vs MEM,L 132-119,37,30,11,7,2,1
Saturday 1 February,@ SA,L 144-118,34,35,14,6,0,1
Wednesday 29 January,@ POR,L 125-112,36,39,12,5,0,0
Tuesday 28 January,@ UTAH,W 125-110,37,35,18,7,2,0
Sunday 26 January,@ LAC,L 127-117,35,36,13,1,0,1
Friday 24 January,vs MIA,W 125-96,32,25,12,4,0,3
Monday 20 January,vs PHI,W 123-109,36,34,15,6,0,0
Saturday 18 January,vs TOR,W 130-112,35,35,13,3,1,1
Thursday 16 January,vs ORL,W 122-93,30,26,11,4,1,0
Wednesday 15 January,vs SAC,W 130-115,37,33,11,13,0,2
Sunday 12 January,@ NY,L 140-106,31,24,13,2,0,1
Saturday 11 January,@ ORL,W 109-106,37,41,14,4,3,2
Thursday 9 January,vs SA,W 121-105,36,25,16,8,0,1
Tuesday 7 January,@ TOR,W 128-104,29,11,12,13,0,0
Sunday 5 January,vs POR,L 105-102,38,31,11,2,2,2
Friday 3 January,vs BKN,L 113-110,37,27,13,7,1,3
Tuesday 31 December,@ IND,W 120-112,35,30,12,5,2,0
Saturday 21 December,vs CLE,W 124-101,30,33,14,3,3,0
Wednesday 18 December,vs OKC,W 97-81,37,26,19,10,2,3
Saturday 14 December,vs ATL,W 110-102,38,32,14,9,1,4
Wednesday 11 December,vs ORL,W 114-109,36,37,7,1,2,4
Sunday 8 December,vs BKN,W 118-113,38,34,11,4,1,3
Saturday 7 December,@ BOS,L 111-105,36,30,11,1,0,0
Thursday 5 December,vs ATL,W 119-104,36,31,11,5,1,0
Wednesday 4 December,@ DET,W 128-107,28,28,7,8,0,1
Sunday 1 December,@ WSH,W 124-114,38,42,12,11,0,1
Sunday 24 November,vs CHA,W 125-119,31,32,11,6,0,2
Saturday 23 November,vs IND,W 129-117,35,37,10,11,2,1
Thursday 21 November,vs CHI,W 122-106,35,41,9,8,1,0
Tuesday 19 November,vs HOU,W 101-100,36,20,13,4,0,3
Saturday 16 November,@ CHA,L 115-114,33,22,15,12,0,2
Thursday 14 November,vs DET,W 127-120 OT,44,59,14,7,2,3
Wednesday 13 November,vs TOR,W 99-85,33,23,4,7,0,4
Sunday 10 November,vs BOS,L 113-107,39,43,13,5,0,2
Saturday 9 November,@ NY,L 116-94,32,24,12,2,0,2
Friday 8 November,vs UTAH,W 123-100,30,31,16,2,1,1
Sunday 3 November,vs CLE,L 114-113,39,34,16,9,1,0
Friday 1 November,@ MEM,L 122-99,34,37,11,4,1,1
Monday 28 October,@ BOS,L 119-108,39,30,10,6,0,0
Sunday 27 October,@ BKN,L 115-102,33,22,12,7,1,0
Saturday 26 October,vs CHI,W 133-122,35,38,11,5,0,0
Thursday 24 October,@ PHI,W 124-109,31,25,14,7,0,1